                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4023,                 4.0596,                 1.6572,                      0,                      0,                      0,                      0,                 2.7192,                 4.4444,                 2.1364,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.8811,                 3.6894,                  1.459,                  0.005,                    0.6,                  0.005,                0.00265,                 1.7721,                  3.747,                 1.2858,             0.00021782,             0.00021782,             0.00021782
                      3,                 1.6147,                 2.7163,                 1.2263,                0.00708,                   0.85,                0.00958,                0.00527,                 1.4447,                 3.5994,                 1.1219,             0.00033327,             0.00033327,             0.00033327
                      4,                 1.6286,                 1.8919,                 1.2661,                0.00792,                   0.95,                0.01132,                0.00513,                 1.5112,                  3.564,                 1.1553,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.5708,                 1.7054,                  1.212,                0.00792,                   0.95,                0.01096,                0.00558,                 1.5514,                 3.4861,                 1.1684,             0.00055703,             0.00055703,             0.00055703
                      6,                 1.5602,                 1.5628,                 1.1472,                0.00792,                   0.95,                0.01342,                0.00613,                 1.6079,                 3.4331,                  1.177,             0.00066535,             0.00066535,             0.00066535
                      7,                  1.488,                 1.4972,                 1.1779,                0.00792,                   0.95,                0.02881,                0.01359,                 1.5382,                  3.363,                 1.2154,             0.00077129,             0.00077129,             0.00077129
                      8,                 1.4934,                 1.4905,                  1.167,                0.00792,                   0.95,                0.01006,                 0.0049,                 1.5453,                 3.4079,                 1.2447,             0.00087486,             0.00087486,             0.00087486
                      9,                 1.4432,                  1.424,                 1.1743,                 0.0075,                    0.9,                 0.0099,                0.00521,                 1.5555,                 4.0473,                 1.2508,             0.00097605,             0.00097605,             0.00097605
                     10,                 1.5967,                 1.4107,                   1.25,                0.00708,                   0.85,                 0.0162,                0.00764,                  1.659,                 12.052,                 1.4231,              0.0010749,              0.0010749,              0.0010749
                     11,                 1.4003,                 1.3138,                 1.1436,                0.00667,                    0.8,                0.01251,                0.00689,                 1.5981,                 10.041,                 1.2948,              0.0011713,              0.0011713,              0.0011713
                     12,                 1.4699,                  1.298,                   1.15,                0.00708,                   0.85,                0.01153,                0.00565,                 1.6913,                 10.363,                 1.3466,              0.0012654,              0.0012654,              0.0012654
                     13,                 1.4158,                 1.3281,                 1.1699,                0.00708,                   0.85,                0.02104,                0.01144,                 1.5668,                 3.4909,                 1.2428,               0.001357,               0.001357,               0.001357
                     14,                 1.5453,                 1.2767,                 1.1901,                0.34212,                    0.1,                0.26462,                0.13528,                 1.7425,                 3.0957,                 1.2813,              0.0014464,              0.0014464,              0.0014464
                     15,                 1.3439,                 1.1714,                 1.1055,                0.88536,                    0.2,                 0.4775,                0.22821,                 1.6621,                 2.9176,                 1.2842,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.3146,                 1.1331,                 1.1054,                 0.4797,                0.13985,                 0.4349,                0.21439,                 1.7637,                 2.7706,                 1.3875,              0.0016179,              0.0016179,              0.0016179
                     17,                 1.3446,                 1.1169,                 1.1346,                 0.0488,                    0.3,                0.04739,                0.02238,                 1.5936,                  6.472,                 1.2759,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4275,                 1.2067,                 1.1515,                0.90316,                0.46735,                0.72184,                0.36049,                 1.8789,                 2.4365,                 1.4398,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3494,                 1.0814,                 1.1315,                0.88439,                0.76561,                0.80069,                0.44691,                 1.7438,                 2.0322,                 1.4111,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3795,                  1.083,                 1.1156,                0.87374,                0.69241,                0.79578,                0.43653,                 1.6869,                  1.713,                 1.3634,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2514,                 0.9962,                 1.0668,                0.88325,                0.75686,                0.89081,                0.46378,                 1.6843,                 1.6511,                 1.3538,               0.001604,               0.001604,               0.001604
